# canonical	part_of_speech	senel	aliases (pipe-separated)
certainty	gram	de	for sure|certainly|definitely|surely|without doubt
sure	property	el	sure|certain
yes	gram	de	yes|yeah|yep
okay	property	fir	okay|ok|alright|all right
thanks	noun	fop	thanks|thank you|thank you very much
greeting	verb	sil	hello|hi|hey
goodbye	verb	bal	goodbye|bye|see you
sorry	property	for	sorry|apologetic
colour	noun	nin	color|colour
black	property	ninnir	black|dark-colored|dark-coloured
white	property	ninnil	white|light-colored|light-coloured
close	verb	nagep	close|shut
closed	property	nagep	closed|shut
open	property	gep	open|opened
computer	noun	permen	computer|laptop|desktop computer|pc
phone	noun	persil	phone|telephone|mobile phone|cell phone|smartphone
internet	noun	perget	internet|web|online network
website	noun	sepwa	website|web site|webpage|web page
email	noun	sepdip	email|e-mail|electronic mail
message	noun	sepdip	message|text message|direct message
photo	noun	sitko	photo|photograph|picture|image
video	noun	sitko	video|movie|film|clip
music	noun	nelko	music|song|track
city	noun	wanron	city|town
country	noun	wakron	country|nation|state
road	noun	wut	road|street|highway
car	noun	perpep	car|automobile|vehicle
bus	noun	perpep	bus|coach
train	noun	perbon	train|railway train
bike	noun	pepper	bike|bicycle
office	noun	rilwa	office|workplace
job	noun	gun	job|work|employment
class	noun	mis	class|course
classroom	noun	mispil	classroom|lecture room
homework	noun	misgun	homework|schoolwork
lesson	noun	misko	lesson|lecture
exam	noun	mip	exam|examination|test|quiz
response	noun	sar	response|reply
mother	noun	ren rem	mother|mom|mum
father	noun	ren rom	father|dad
sister	noun	rer rem	sister
brother	noun	rer rom	brother
morning	noun	yenyis	morning
noon	noun	yenwip	noon|midday
evening	noun	yenyik	evening
weekend	noun	yekyik	weekend
birthday	noun	hokyen	birthday
age	noun	hak	age
child	noun	rel	kid|child
person	noun	ran	human|person|individual
people	noun	ral	people|humans|everyone
friend	noun	ras	friend|buddy
family	noun	rar	family|household
partner	noun	res	partner|spouse
boss	noun	rin	boss|manager|leader
police	noun	rip	police|police officer|officer
hospital	noun	hoswa	hospital|clinic
medicine	noun	hos	medicine|drug|medication
engineer	noun	genra	engineer|builder
lawyer	noun	rolra	lawyer|attorney
judge	noun	melra	judge|magistrate
restaurant	noun	henwa	restaurant|cafe|cafeteria
grocery	noun	hemrok	grocery|grocery store|food shop
clothes	noun	pes	clothes|clothing|garment
shoe	noun	peskik	shoe|footwear
bag	noun	wur	bag|backpack
key	noun	pengep	key
clock	noun	yante	clock|watch
camera	noun	sitte	camera
money	noun	det	money|cash
price	noun	dek	price|fee
free	property	fum	free|without charge
expensive	property	mi dek	expensive|costly
cheap	property	li dek	cheap|inexpensive
smart	property	manpi	smart|clever|intelligent
stupid	property	fil	stupid|dumb|foolish
interesting	property	molpi	interesting|engaging
boring	property	namol	boring|dull
busy	property	hispi	busy|occupied
ready	property	gutpi	ready|prepared
possible	property	gol	possible|able
impossible	property	nagol	impossible|unable
safe	property	honpi	safe|secure
strong	property	hop	strong|powerful
weak	property	nahop	weak|fragile
rich	property	dos	rich|wealthy
poor	property	dok	poor|impoverished
young	property	li hak	young|youthful
fun	property	nul	fun|enjoyable|funny
favorite	property	ti fas	favorite|favourite
empty	property	yam ut	empty|vacant
full	property	ut lam	full|complete
available	property	fum	available|free to use
unavailable	property	nafum	unavailable
create	verb	gan	create|produce
remove	verb	ges	remove|delete|erase
choose	verb	fun	choose|select|pick
try	verb	gur	try|attempt
explain	verb	sit	explain|demonstrate
visit	verb	but	visit|meet
travel	verb	bal	travel|go on a trip
call	verb	sak	call|phone someone
send message	verb	dip	text someone|send a message
download	verb	dit	download|receive data
upload	verb	dip	upload|send data
save	verb	dup	save|store
search	verb	dap	search|find|look for
check	verb	nal	check|inspect|look at
fix	verb	ger	fix|repair
turn on	verb	gep	turn on|switch on
turn off	verb	nagep	turn off|switch off
log in	verb	bun	log in|sign in|enter account
log out	verb	bul	log out|sign out|exit account
reply	verb	sar	reply|respond
enjoy	verb	fas	enjoy|like
prefer	verb	mi fas	prefer|would rather
remember	verb	mak	remember|recall
forget	verb	mat	forget
learn	verb	mil	learn
teach	verb	mir	teach
study	verb	mis	study|revise
win	verb	gus	win|succeed
lose	verb	dat	lose
fail	verb	guk	fail
plan	verb	mek	plan|schedule
arrive	verb	bur	arrive|reach
leave	verb	bus	leave|depart
drive	verb	bin	drive|transport
wait	verb	bas	wait
send	verb	dip	send
receive	verb	dit	receive
return	verb	bak	return|come back
maybe	gram	fus	maybe|perhaps|possibly
probably	gram	mo	probably|presumably
currently	adverb	yal	currently|right now|at present
soon	adverb	mi yas	soon|shortly
later	adverb	yil	later|afterward|afterwards
nearby	adverb	won	nearby|close by
far away	adverb	wol	far away
in front of	preposition	wek	in front of
next to	preposition	wep	next to|beside
on top of	preposition	wer	on top of|above
under	preposition	wes	under|below
lots	gram	pam	a lot of|lots of|plenty of
right away	adverb	yuk	right away|immediately|suddenly
once more	adverb	yok	once more|again
ride	verb	bin	ride
through	preposition	i	through
another	determiner	ek	another
familiar	property	malpi	familiar
unfamiliar	property	namal	unfamiliar
remain	verb	bas	remain|stay
quote	verb	sir	quote|quoted
correctly	adverb	fir	correctly
file	noun	sem	file
account	noun	sepdol	account|user account
table	noun	penput	table|desk
game	noun	hikko	game

# ===== everyday vocabulary expansion (v1.3) =====
# Composed from existing roots (compounds/aliases) plus one new root (pig=tim).
# --- meals & food ---
lunch	noun	yenhem	
dinner	noun	yelhem	
supper	noun	yelhem	
snack	noun	yushem	
breakfast	noun	hilhem	
bread	noun	turhem	
rice	noun	turtol	
noodle	noun	tur	
pasta	noun	tur	
meat	noun	tekhem	
beef	noun	tekhem	
pork	noun	tekhem	
chicken	noun	tik	
cheese	noun	tekpun	
butter	noun	tekpul	
milk	noun	tekpap	
cream	noun	tekpap	
yogurt	noun	tekpap	
apple	noun	tul	
banana	noun	tul	
grape	noun	tul	
lemon	noun	tul	
berry	noun	tul	
melon	noun	tul	
peach	noun	tul	
pear	noun	tul	
potato	noun	tus	
tomato	noun	tus	
onion	noun	tus	
carrot	noun	tus	
bean	noun	tus	
pea	noun	tus	
corn	noun	tus	
cabbage	noun	tus	
garlic	noun	tus	
salt	noun	watpus	
sugar	noun	nakpus	
pepper	noun	nakler	
spice	noun	nakler	
oil	noun	tanpap	
sauce	noun	heppap	
honey	noun	nakpap	
jam	noun	nakpap	
soup	noun	heppal	
salad	noun	tus	
juice	noun	tulpal	
coffee	noun	nirpap	
tea	noun	takpap	
wine	noun	tulpap	
beer	noun	turpap	
bake	verb	hep	
fry	verb	hep	
sweet	property	naknul	
sour	property	nakfis	
bitter	property	nakfil	
fresh	property	yim	
ripe	property	gup	
raw	property	nahep	
# --- kitchen & home objects ---
kitchen	noun	heppil	
plate	noun	henpel	
bowl	noun	hempel	
cup	noun	helpel	
spoon	noun	hempen	
fork	noun	henpen	
knife	noun	pet	
pot	noun	heppel	
pan	noun	hepput	
bottle	noun	papwun	
jar	noun	dakwun	
basket	noun	pekwun	
bucket	noun	palwul	
brush	noun	hulpen	
soap	noun	hunpun	
towel	noun	hunpes	
bed	noun	hinkul	
chair	noun	hirkul	
sofa	noun	hirkul	
shelf	noun	dukkok	
lamp	noun	lanper	
mirror	noun	latpor	
stair	noun	boswut	
lock	noun	dakpen	
garden	noun	tanwal	
yard	noun	pinwak	
apartment	noun	hanpil	
# --- clothing ---
shirt	noun	hutkan	
trousers	noun	hutkis	
skirt	noun	hutkis	
coat	noun	hutlel	
jacket	noun	hutlel	
hat	noun	hutkal	
sock	noun	hutkik	
