form	class	gloss	derivation
a	ROLE	AGENT (subject; omitted in canonical order)	bare vowel = role
e	ROLE	PATIENT (object; omitted in canonical order)	bare vowel = role
o	ROLE	to, toward (recipient, goal)	bare vowel = role
i	ROLE	at, in, on (place and time)	bare vowel = role
u	ROLE	by, with (instrument, means)	bare vowel = role
an	ROLE	from (source, origin)	oblique role series
en	ROLE	of (possession, part, relation)	oblique role series
in	ROLE	for (beneficiary)	oblique role series
on	ROLE	with (accompaniment)	oblique role series
un	ROLE	because of, for the sake of	oblique role series
as	ROLE	TOPIC (as for X)	oblique role series
ta	ASP	PERFECTIVE (completed)	-a class = aspect
ka	ASP	PROGRESSIVE (ongoing)	-a class = aspect
ma	ASP	PERFECT (resulting state)	-a class = aspect
fa	ASP	PROSPECTIVE (about to)	-a class = aspect
sa	ASP	HABITUAL (generic, repeated)	-a class = aspect
ba	ASP	INCEPTIVE (begins to)	-a class = aspect
lo	EVID	I perceived it directly	-o class = evidential
to	EVID	I was told it	-o class = evidential
so	EVID	my own state, intent or opinion	-o class = evidential
mo	EVID	I infer it from evidence	-o class = evidential
yo	EVID	established or common knowledge	-o class = evidential
ne	MOOD	not	-e class = polarity and mood
he	MOOD	POLAR QUESTION	-e class = polarity and mood
we	MOOD	IMPERATIVE, request	-e class = polarity and mood
pe	MOOD	HORTATIVE (let us, may it)	-e class = polarity and mood
ge	MOOD	HYPOTHETICAL, counterfactual	-e class = polarity and mood
de	MOOD	EMPHATIC assertion	-e class = polarity and mood
ye	MOOD	TAG (…right?)	-e class = polarity and mood
mi	DEG	more (comparative)	-i class = degree
li	DEG	less	-i class = degree
ti	DEG	most (superlative)	-i class = degree
si	DEG	as, equally (equative)	-i class = degree
ki	DEG	too, excessively	-i class = degree
fi	DEG	enough, sufficiently	-i class = degree
bi	DEG	very	-i class = degree
nu	CONN	and	-u class = connective
bu	CONN	or (inclusive: one or both)	-u class = connective
pu	CONN	or (exclusive: exactly one)	-u class = connective
wu	CONN	but, however	-u class = connective
hu	CONN	if (marks the condition)	-u class = connective
du	CONN	then, therefore (marks the result)	-u class = connective
ku	CONN	because	-u class = connective
ru	CONN	although	-u class = connective
fu	CONN	that (complementiser)	-u class = connective
gu	CONN	which, who (relativiser)	-u class = connective
sam	DET	this, these (near)	C-am = determiner
tam	DET	that, those (far)	C-am = determiner
nam	DET	which, what (interrogative)	C-am = determiner
kam	DET	some	C-am = determiner
lam	DET	all, every, each	C-am = determiner
pam	DET	many (also general plural)	C-am = determiner
fam	DET	few, a little	C-am = determiner
yam	DET	no, none, zero	C-am = determiner
wam	DET	any	C-am = determiner
min	PRON	I, me	pronoun set
mun	PRON	we (including you)	pronoun set
mon	PRON	we (excluding you)	pronoun set
sin	PRON	you (one)	pronoun set
sun	PRON	you (several)	pronoun set
tin	PRON	he, she, they, it (one)	pronoun set
tun	PRON	they (several)	pronoun set
pan	PRON	one, people (generic)	pronoun set
sel	PRON	self (reflexive)	pronoun set
tal	PRON	each other; together	pronoun set
na-	AFFIX	not, the opposite of	bound CV prefix
re-	AFFIX	again, back	bound CV prefix
se-	AFFIX	self-, auto-	bound CV prefix
-ra	AFFIX	one who does it (agent)	bound CV suffix
-te	AFFIX	tool for doing it	bound CV suffix
-wa	AFFIX	place where it happens	bound CV suffix
-ko	AFFIX	product or result of it	bound CV suffix
